time,disp_xs,e_x1,e_x2,e_x3,mises1,mises2,mises3,sig_x1,sig_x2,sig_x3
0.4,-0.0073744752732453,-1.7628238611532e-05,4.9427434843906e-05,-0.0001526360299861,0.0074497929553058,0.014844359063377,0.039574511679521,-0.0043739726181343,0.0080390370560609,-0.025557640769829
0.5,-0.012689849888772,-2.9460623467536e-05,7.5265210805439e-05,-0.0002202263454556,0.015142216449793,0.02477060975759,0.058515564017921,-0.0073412407967912,0.012034947847205,-0.036564702418301
0.6,-0.01979733090144,-2.2865907708187e-05,0.00010039645611683,-0.00029566713260522,0.017050432982623,0.034285133366418,0.079895177053487,-0.0057570129375913,0.015950308966871,-0.048827311746575
0.7,-0.028810390149486,1.0958711798819e-05,0.00011990822228858,-0.00037578395193592,0.010796371768864,0.042326617006326,0.10302491673883,0.0025630756770602,0.018940142905564,-0.061798499671198
0.8,-0.0398606203394,6.6621026924465e-05,0.0001274585774395,-0.00045627647573181,0.012789102098237,0.047156863455081,0.12623113269071,0.016256861962568,0.019966734909473,-0.074838181310793
0.9,-0.053192877835337,0.00014381715079286,0.00012865565054002,-0.00053809961958904,0.030696831182195,0.051340107591107,0.15019270061228,0.035253452832962,0.019881563433815,-0.088050819755625
1,-0.069191358562088,0.00024304220040348,0.00012828004114055,-0.00063042230879373,0.057446303281088,0.056381934640691,0.17746713006798,0.059690596333161,0.01946309189487,-0.10291633286831
1.1,-0.088176809275362,0.00035711206575638,0.00012984704960665,-0.00074294000691192,0.088215386029439,0.062232858599916,0.21140375513806,0.087772241469077,0.019363626929109,-0.12094435733322
1.2,-0.11025796545775,0.0004822276349747,0.00013720999890309,-0.00087489386572692,0.1216859964888,0.071878230487487,0.25156721981271,0.11856603333295,0.02007106985074,-0.14202981062684
1.3,-0.13538550233534,0.00061655006221199,0.00014997043409548,-0.0010231253015189,0.15703266779317,0.08511665217476,0.29735074779461,0.1516155600077,0.021528765903819,-0.16564389871346
1.4,-0.16346152007492,0.00076280362009908,0.00016472129576926,-0.001188154321257,0.19441371142592,0.10018881246728,0.34855839319839,0.18758282614981,0.023237045901654,-0.19189927369736
1.5,-0.19425686873896,0.00093041947156601,0.0001777172777022,-0.0013669595441126,0.23863266272591,0.11584833122273,0.40443377823615,0.22882562979688,0.024601576747985,-0.22031117112315
1.6,-0.22746717526728,0.0011210264873067,0.00018740153020409,-0.0015517914822352,0.28968276721826,0.13107346661668,0.46234743233736,0.27573752202695,0.025414780173846,-0.24965901480854
1.7,-0.26282857173705,0.0013321634122969,0.00018898273107577,-0.0017404112855796,0.34641453924295,0.14552890729375,0.52170847919817,0.32770486419576,0.024844619618498,-0.2795889003832
1.8,-0.30015841409873,0.0015626343772744,0.00018471767098243,-0.0019328395117914,0.40911789370067,0.1594311861044,0.58232429780088,0.38444271501355,0.023287927831825,-0.31011357503052
1.9,-0.33930930947301,0.0018086786382546,0.00017971467397713,-0.0021314790040659,0.47619999246038,0.17383879940158,0.64517598674536,0.44501646673648,0.021584088158328,-0.34159778994389
2,-0.38013646423561,0.0020640195964369,0.00017474570475992,-0.0023409730782162,0.54619738564952,0.18893027760973,0.71150802751625,0.50788454091487,0.019856586569068,-0.37479349688743
2.1,-0.42173400650724,0.0023212774555548,0.0001724157910114,-0.0025338307643934,0.61572671795552,0.20627426897373,0.77746590770105,0.57120918436964,0.018470042696727,-0.4047231156051
2.2,-0.46283239170873,0.0025801015394326,0.00016427403400323,-0.0026917274101854,0.68512522294742,0.22495730044717,0.83406858554116,0.63491098019534,0.015998253345708,-0.42893077154598
2.3,-0.50260187845075,0.0028520813914259,0.0001373132165437,-0.0028868640663233,0.74537584051038,0.23983688518553,0.90480547713151,0.69710218812233,0.010474877989684,-0.45424814270077
2.4,-0.54042612073486,0.0032224727288284,9.8680219152986e-05,-0.0031203575182556,0.83668221427856,0.24376085400752,0.99627486555412,0.77836665412812,0.0035666146608632,-0.47625535738391
2.5,-0.57525152153499,0.0036845657713969,6.0359060524899e-05,-0.0033237892263195,0.97185899721516,0.23586248909342,1.0826763915089,0.88099061320852,-0.0025863371046812,-0.48997650366
2.6,-0.60584715969181,0.0041143215381134,3.3321745923458e-06,-0.003470441894783,1.0941874961066,0.2240488299634,1.1466199656143,0.97639995794684,-0.011721479429222,-0.49951254885922
2.7,-0.63133474858359,0.0044431689168107,-7.6780915166498e-05,-0.0035132413583591,1.183718051449,0.21728320737723,1.1700485637316,1.0493226182236,-0.025045289008514,-0.50072364966583
2.8,-0.65191910626156,0.0046890661722621,-0.00014543231994894,-0.0034994454242036,1.2470873456288,0.21789318521046,1.1711403457672,1.1015054629662,-0.036753924231241,-0.49789321772958
2.9,-0.6682948104559,0.0049112844064287,-0.00019380591090773,-0.0035045073977526,1.307449169219,0.21478527460545,1.1786362854857,1.1479268570407,-0.044746870697306,-0.49663996615709
3,-0.68013047692011,0.0051028426684454,-0.00022646586460577,-0.0035372005557414,1.3647654534357,0.20709309952079,1.1983799054695,1.1880230578051,-0.049781961060895,-0.49720017583571
3.1,-0.68621060188558,0.0052102219828427,-0.00023729559763307,-0.0035417026564687,1.395054058695,0.20480512481861,1.2037203599484,1.2102551246799,-0.051459300630747,-0.49669424858348
3.2,-0.68577148628195,0.0052027461308328,-0.00024563966915532,-0.003496239147958,1.3914653777598,0.20810248940095,1.1935423390119,1.208430380411,-0.053050291376118,-0.48904513032992
3.3,-0.67885600654311,0.0051276346540404,-0.00025221385009271,-0.0034360609646044,1.3642175128666,0.21158365171199,1.1766897572998,1.1898318090584,-0.054369970326782,-0.47921056918402
3.4,-0.66527892525352,0.0050394286605426,-0.00023863899982187,-0.0033636448581876,1.3409767364098,0.20727846236665,1.1564334434078,1.1681173381942,-0.051846695600601,-0.46746399411003
3.5,-0.64449020576977,0.0049290838977448,-0.00022881601775436,-0.0032642834856188,1.3157357588129,0.19571088238445,1.126138931833,1.1410407391272,-0.049524822842269,-0.4515262947722
3.6,-0.61592724673354,0.0047578675690256,-0.00023857563028331,-0.003108402703692,1.2678058890492,0.18404426526289,1.0776255877442,1.0988486203236,-0.050482260065019,-0.42676894642521
3.7,-0.57972396351799,0.0045461684000692,-0.00025640242545955,-0.0028865485459794,1.2105404818158,0.17148852267123,1.0078161827301,1.0467459493175,-0.052713524104627,-0.39152244642775
3.8,-0.53687427112285,0.0043119386394932,-0.00027119480876382,-0.0026432929759615,1.1489206888657,0.15441668196462,0.93065247037239,0.98909132662403,-0.054130282886187,-0.35304858259956
