time,disp_xs,e_x1,e_x2,e_x3,mises1,mises2,mises3,sig_x1,sig_x2,sig_x3
0,0,0,0,0,0,0,0,0,0,0
0.005,0.00077324941429967,-6.5372745822565e-17,-2.7428514275677e-11,-0.00017194127144489,1.8282547408493e-14,6.0429169948425e-09,0.036376955327721,-1.5095861129971e-14,-7.0994594162531e-09,-0.04590357684385
0.01,0.0028062418346164,-2.3055268630781e-16,-6.2239532783411e-10,-0.00051589067656073,1.0067177084487e-13,1.2728709613444e-07,0.13781577812071,-9.4688501058727e-14,-1.5741742958892e-07,-0.13171803109478
0.015,0.0047594217425997,7.4554609471516e-15,-4.0055345794924e-11,-0.00067420254332316,2.1609625247435e-12,6.7277261002847e-08,0.23932295925467,1.6046611404054e-12,4.2450672256892e-08,-0.16216012403352
0.02,0.0063137568894589,9.840236998648e-15,5.7568540394437e-09,-0.00076443688765459,4.4179465559675e-12,1.3064202486775e-06,0.2785901481944,3.3025302881761e-12,1.5194008759446e-06,-0.19158258170064
0.025,0.0084914291138529,-1.2336734324468e-13,2.0676124879622e-09,-0.00096676393938286,3.6412559096077e-11,8.9475487921412e-07,0.31401801411063,-2.5712374885027e-11,4.9069204570223e-08,-0.27011090478487
0.03,0.011009546872274,-8.511871945553e-14,-1.2355852245465e-08,-0.0010442104453743,4.9561076927283e-11,3.4092340080334e-06,0.39890851278789,-2.6899178909967e-11,-3.6912930303196e-06,-0.30059974082885
0.035,0.013476984858794,8.4645000085292e-13,6.0610367157339e-08,-0.0011324799493113,2.5996860430084e-10,9.9392503822344e-06,0.47555637229286,1.730601327751e-10,1.6993156661333e-05,-0.31708122737977
0.04,0.016198123973555,2.3435046830926e-13,5.4308685784316e-07,-0.0013545959938259,2.4869057932093e-10,9.9997846566388e-05,0.52235240117845,8.6050907245035e-11,0.00013868177267117,-0.38240189337738
0.045,0.019115081793506,-3.5326815234977e-12,3.2221279893536e-06,-0.0014733133641806,1.1943622728538e-09,0.00059804051424411,0.58431819608117,-6.9772662857306e-10,0.00080226906679543,-0.43135800928792
0.05,0.022191460190866,1.2724604335667e-13,1.5494400593001e-05,-0.0015552858129511,7.4304223712442e-10,0.0028910138754025,0.6539560224795,-8.7780665357068e-11,0.0038267381402357,-0.45982843812506
0.055,0.025557898457243,1.4272529966194e-11,5.6568092459368e-05,-0.001719180294209,4.5617716569156e-09,0.01068884183032,0.7172358560516,2.948406023577e-09,0.013756753983664,-0.50375954433573
0.06,0.029064080471583,4.0789347884299e-11,0.00015784213640708,-0.0018541906102272,7.2927201980366e-09,0.030343330148503,0.78493816243966,1.1241432541995e-08,0.037539561462789,-0.54839708206613
0.065,0.032684011763001,3.6004823756434e-10,0.00034791541223784,-0.0019816234270085,6.1529235547729e-08,0.068195365049499,0.84448994104151,9.7126069782195e-08,0.080628645438693,-0.59425486834511
0.07,0.03660905004659,3.0920832525206e-09,0.00063382973004111,-0.0021310139607728,5.510850415856e-07,0.12656671656136,0.90255919367179,8.1278389899652e-07,0.14320462903129,-0.63997357999348
0.075,0.041339256226676,2.1179306991739e-08,0.0010025482594102,-0.0023909564134901,3.778202637802e-06,0.20308560366972,0.99174479220804,5.5713652372577e-06,0.22198469980896,-0.72494215219194
0.08,0.047100593565247,1.2269912656313e-07,0.0014306297524792,-0.0028223345208942,2.1860106990693e-05,0.29253023992903,1.1110805143508,3.2302119636758e-05,0.31251715837855,-0.87688582474554
0.085,0.052915428308485,6.0691488798953e-07,0.0018843002997528,-0.003133939774256,0.00010822304761112,0.38780292144891,1.2311091521106,0.00015970929056755,0.40773580572268,-0.99392314009008
0.09,0.058294887227333,2.5613468242365e-06,0.0023370598855076,-0.0033291438330026,0.0004572722917815,0.48324902915353,1.3209291061504,0.00067367275840884,0.50222306536103,-1.0676411785259
0.095,0.06399857576348,9.2336003524422e-06,0.0027914457086381,-0.0036714696783406,0.0016504522729556,0.57855999590823,1.3956947614151,0.0024274036287457,0.59778523082157,-1.1880792631662
0.1,0.071230865898936,2.8538183986417e-05,0.0032533285979791,-0.0043917553922406,0.0051079659669073,0.6750301753337,1.5589039543037,0.0074983448589312,0.6955596181338,-1.4223216573744
0.105,0.078827386462733,7.6080476370025e-05,0.0037107116302121,-0.0051208820456142,0.013638036569673,0.7712445436546,1.7927667181474,0.019978287776842,0.79135108981911,-1.6601271325035
0.11,0.08183550666033,0.00017648849467858,0.0041640414917231,-0.0046838486056582,0.03168706079302,0.86685367792522,1.8033697537982,0.046317317584458,0.88592110995115,-1.561665989283
0.115,0.081364645653179,0.00036033111845429,0.0046248683834607,-0.0039674102322886,0.064793417902187,0.96325967699155,1.5262934842255,0.094512157915194,0.98323979689624,-1.3833883491909
0.12,0.083682356488746,0.00065611732895161,0.0050822860770704,-0.0042372640996248,0.1181398549727,1.0591285045421,1.3738122662122,0.17201307859966,1.0795765019569,-1.4894321150839
0.125,0.086793241918232,0.001080365511734,0.0055257098540654,-0.0041168813646979,0.19473990053949,1.1528445481878,1.4903980356491,0.28313313059351,1.1717904692011,-1.433007990178
0.13,0.087418185414394,0.0016304579741692,0.0059701523448808,-0.003691592414679,0.29412740015836,1.2462158315666,1.4827447994372,0.42718512547674,1.2650597975412,-1.2495680902649
0.135,0.088240889025559,0.0022844845224962,0.0064266780425849,-0.0039361822344744,0.41232561259237,1.3413028921797,1.2791155082632,0.59844027219604,1.362105222092,-1.3291826038926
0.14,0.089658608751586,0.003009583352725,0.0068908865792309,-0.0037548473186481,0.54336298874073,1.4384671197979,1.204729855206,0.78830826183031,1.4600683272426,-1.3296713233616
0.145,0.09039849439523,0.0037743810650729,0.0073579544330515,-0.0033012603488381,0.68153637332274,1.5369960782766,1.2277757472411,0.98858880261862,1.5574841318675,-1.1756433652838
0.15,0.091122691873328,0.0045571959750602,0.007813475440405,-0.003417408392377,0.82291929497158,1.6334726995358,1.1650865690257,1.1936079933967,1.6519086109701,-1.159652411844
0.155,0.091568553425296,0.0053468211672802,0.008219141618331,-0.0033408442310846,0.9655119285341,1.7203232694241,1.0661578500891,1.4004197459788,1.7345906128742,-1.1579122337905
0.16,0.091475103839794,0.006139518067435,0.0085186895152259,-0.0030486596038726,1.1086623021174,1.7865425518712,0.99114105260431,1.6080355512173,1.7925097113634,-1.0980239745198
0.165,0.091616451924228,0.0069344974932833,0.0086660625686007,-0.0029936956830592,1.2522247809233,1.822113224617,0.93927118577372,1.816250901824,1.8165171857255,-1.0528907731183
0.17,0.091681001554003,0.0077294128926711,0.0086586761699188,-0.0028404641568784,1.3957746583044,1.824776310636,0.91404632137759,2.0244499243056,1.8086548121505,-0.99048756990912
0.175,0.091136496776633,0.0085208320528166,0.0085323783500107,-0.0027015529453066,1.538701174625,1.8009744403016,0.84261364810697,2.2317282880895,1.7780833450048,-0.96652497025099
0.18,0.090375995102615,0.0093087083185088,0.0083355275093156,-0.0026322409862325,1.6809789176911,1.7616002956801,0.73788315424412,2.4380832628989,1.7338312524365,-0.94720653436695
0.185,0.089709565373551,0.010096274650991,0.0081309609470945,-0.0024080009780331,1.823174025698,1.7201786575242,0.69877015918135,2.6443702279234,1.6885941916014,-0.8644349260458
0.19,0.088902594949032,0.010885290333696,0.0079824026689469,-0.0023043093764914,1.9656406138447,1.6892105120216,0.67798683061492,2.8510307981615,1.6570695462711,-0.82888712718176
0.195,0.087605899802454,0.011672660165944,0.0078969550853337,-0.0022373323216881,2.1078583948373,1.6711818260736,0.60040927090132,3.057236469507,1.6392549436769,-0.81393118480486
0.2,0.086071811048283,0.012444953308529,0.0078302918507352,-0.0020073699227245,2.2473877115458,1.6587047865204,0.5166040134089,3.2594784388955,1.622983590459,-0.74448878367323
0.205,0.084660838281577,0.013169154186389,0.0077738055191367,-0.0019082132647736,2.3782710092212,1.6481102344937,0.47913740761006,3.4491059968671,1.6092368093966,-0.70661454974815
0.21,0.082966102943189,0.01379102883926,0.0077489556759224,-0.0018181846153218,2.4907525671965,1.641766482078,0.45286772448588,3.6118948509579,1.6057023078792,-0.67579271550534
0.215,0.080841518824697,0.014246244744474,0.007724149332851,-0.001591494529347,2.5731686557457,1.6361801847605,0.39210947466957,3.7310209637914,1.6010535402167,-0.61106934317025
0.22,0.078666102759969,0.014476317129159,0.0076690239507747,-0.0014809993670396,2.6148408570699,1.6265218102273,0.33079857453188,3.7912242163966,1.5866179347619,-0.57859724817792
0.225,0.076306462269141,0.014445306500475,0.0076278322505045,-0.0013507590012209,2.6092442336928,1.6178266679279,0.30874899782299,3.7831030598077,1.578040308498,-0.53776275765848
