time,disp_xs,e_x1,e_x2,e_x3,mises1,mises2,mises3,sig_x1,sig_x2,sig_x3
0,0,0,0,0,0,0,0,0,0,0
0.005,0.0008719868817688,-4.9183499951009e-17,4.8644370170114e-12,-0.00020016265678339,1.7700489483296e-14,1.43288545754e-09,0.040872418386515,-9.0513999547233e-15,1.1815098983682e-09,-0.053795161129676
0.01,0.0032077738404267,-1.2065093944505e-15,-8.1751521023872e-10,-0.00060793500987236,3.1491959132024e-13,1.6318997189793e-07,0.15758892008768,-3.1179126563186e-13,-2.1337318592105e-07,-0.15614459548871
0.015,0.0053187714268048,6.3851134832752e-15,-1.2031512563807e-09,-0.00075004785491609,2.1231373924103e-12,2.8692606630115e-07,0.27592065224473,1.1447436512117e-12,-2.496115530488e-07,-0.17748805492535
0.02,0.0066021851875746,4.7598406994948e-14,7.8696697344736e-09,-0.00075952715973753,1.3978549759024e-11,1.6457529451969e-06,0.3038127402088,1.153808235978e-11,2.2086282923949e-06,-0.18267218631588
0.025,0.0086761523551855,-1.162034100923e-13,1.0283891902316e-08,-0.0010088377044481,3.6530737313285e-11,2.9804799541454e-06,0.30535586876525,-2.0813714599529e-11,2.1476709486506e-06,-0.28577852089124
0.03,0.011496517792977,-5.4179158691209e-13,-2.818189106606e-08,-0.0011128176023045,1.7642381884694e-10,5.6328609669021e-06,0.3980204885109,-1.2405810351136e-10,-8.8427952352996e-06,-0.33550268731288
0.035,0.014037769105687,8.8403441543805e-13,-2.7305186328013e-08,-0.0010796034951231,2.6347239063752e-10,9.7671196347599e-06,0.513512408509,1.5884371974956e-10,-5.5907674125812e-06,-0.30628582257732
0.04,0.016651624665325,3.1751941453738e-12,1.0197429136145e-07,-0.0013516927660107,1.1579150570615e-09,2.0146585341017e-05,0.55078561391775,6.8702090019017e-10,3.2063402055043e-05,-0.36729037286402
0.045,0.019639763612794,-4.0588901265311e-12,4.3000354029189e-07,-0.0016011691416938,1.1717528733136e-09,8.5353411586237e-05,0.58103074675155,-7.0655629628729e-10,0.00010748331754235,-0.46375730584897
0.05,0.022722601448709,-1.269152077899e-11,3.1937619833104e-06,-0.0015722750151981,5.2040326190653e-09,0.00058705437828895,0.66323398048311,-2.5617997111192e-09,0.00080077669772756,-0.48233422475129
0.055,0.026115817201003,1.1829184724306e-11,2.0348759077788e-05,-0.0016663097446576,3.5155008128019e-09,0.0037235925582908,0.73580400560781,1.7725095653184e-09,0.0051440061424645,-0.49667471747555
0.06,0.02985019248456,4.0335272070872e-11,8.5869779216738e-05,-0.0018914439984132,1.8083400572518e-08,0.015973335390133,0.80302774726918,7.5003320414634e-09,0.021312966362684,-0.54603990930478
0.065,0.033516882205042,-1.7583698017167e-11,0.00025361361222149,-0.0020232115264922,6.7455284794035e-09,0.048242638168099,0.87268707414123,-6.3207046930378e-10,0.061162583930646,-0.60324923994477
0.07,0.037361497057352,-1.0320194619914e-10,0.00055904631048274,-0.0021819900675306,5.1098585526897e-08,0.10914919437375,0.91040955334082,-1.6888180388218e-08,0.13025411050364,-0.67118144930462
0.075,0.042289851316022,1.2852302062326e-10,0.00098557996092756,-0.0024498602261477,3.0427604823409e-08,0.19737163890426,0.9798215312535,2.4132149889381e-08,0.22182426118763,-0.7501530057919
0.08,0.048472462749508,2.0030912746927e-09,0.0014928135594606,-0.002839055964876,4.0465459579682e-07,0.30438347586124,1.149731958043,4.9882487121743e-07,0.32750183673011,-0.87619414353354
0.085,0.054602625221333,1.6587911855849e-08,0.0020424412563329,-0.0032554469012144,2.9357860006173e-06,0.4201666816092,1.3013613934943,4.3916848170512e-06,0.4422684963579,-1.0344811356822
0.09,0.059744639273689,1.2805389319127e-07,0.0025678671315398,-0.0034411231985112,2.2672193923466e-05,0.53118235521379,1.3355090757949,3.3818254812291e-05,0.55150624354609,-1.1180166183645
0.095,0.065035976359095,8.2192880643129e-07,0.0030163111664401,-0.0035847214670669,0.00014620658709603,0.62731585142435,1.3653342529966,0.00021648316839538,0.64268086801275,-1.1706466545965
0.1,0.07272890440645,4.2518619237322e-06,0.0034477730490808,-0.0044289260534556,0.0007573618435605,0.71765194339838,1.5663940237223,0.0011193104814,0.7336745848899,-1.4322645094922
0.105,0.081470018158403,1.7770453722927e-05,0.0039407719368185,-0.0054504818905539,0.0031691416849743,0.81750663962668,1.8763783790542,0.0046760000014646,0.84276364272671,-1.7697193805292
0.11,0.084796184238825,6.0516272047584e-05,0.0044368921715372,-0.0048858931068493,0.010810825590761,0.92147945886286,1.9175931563219,0.015912556334593,0.94726770177757,-1.6453844601998
0.115,0.083259256645582,0.00017004229529767,0.004876285908547,-0.0038939490756363,0.030440839154737,1.0184680973822,1.551446639133,0.044674209703178,1.0324343722743,-1.3764256769218
0.12,0.085345087562772,0.00040090505257424,0.0053400267886577,-0.0044488321108209,0.071933210511164,1.1159446239806,1.3023193104297,0.10523561528258,1.1296502933561,-1.5716413162211
0.125,0.090009816612805,0.00080901303324047,0.005855336625009,-0.0045648845329385,0.14547937547341,1.2190282289153,1.5219794544438,0.21219108538995,1.2456125607554,-1.6072819147909
0.13,0.090984816144352,0.0014267693554293,0.0063148619713369,-0.0036915808543413,0.25704847933333,1.3161980762859,1.6714034980885,0.37397426307847,1.3410832443919,-1.2565420625046
0.135,0.090715652338404,0.0022419195652697,0.0067210512766543,-0.004035680741371,0.40445825267276,1.4069748971118,1.3747410292599,0.58737015637705,1.4181848221958,-1.3084777858574
0.14,0.092321981371297,0.0031905612425069,0.0071949593548888,-0.0043789892302659,0.57608023381547,1.5050137742337,1.1376920265131,0.83568903034951,1.5198774412594,-1.5230743079834
0.145,0.093780939434873,0.0041742690990815,0.0077304960239371,-0.0034392477737889,0.75401142186277,1.6114800507347,1.238804719079,1.0932067351982,1.6414101065989,-1.310929387182
0.15,0.094611870472035,0.0051064767113401,0.0082269633567609,-0.0032479232206148,0.92248977126881,1.7164435692752,1.3199690977972,1.3373026048853,1.7445568389943,-1.1237630703727
