time,load,mises,pe_eff,pe_xx,strain_xx,stress_xx
0,0,0,0,0,0,0
0.01,2.1333333333333e-07,1.7066666666667,0,0,2.1333333333333e-07,1.7066666666667
0.02,4.2666666666667e-07,3.4133333333333,0,0,4.2666666666667e-07,3.4133333333333
0.03,6.4e-07,5.12,0,0,6.4e-07,5.12
0.04,8.5333333333333e-07,6.8266666666667,0,0,8.5333333333333e-07,6.8266666666667
0.05,1.0666666666667e-06,8.5333333333333,0,0,1.0666666666667e-06,8.5333333333333
0.06,1.28e-06,10.24,0,0,1.28e-06,10.24
0.07,1.4933333333333e-06,11.946666666667,0,0,1.4933333333333e-06,11.946666666667
0.08,1.7066666666667e-06,13.653333333333,0,0,1.7066666666667e-06,13.653333333333
0.09,1.92e-06,15.36,0,0,1.92e-06,15.36
0.1,2.1333333333333e-06,17.066666666667,0,0,2.1333333333333e-06,17.066666666667
0.11,2.3466666666667e-06,18.773333333333,0,0,2.3466666666667e-06,18.773333333333
0.12,2.56e-06,20.48,0,0,2.56e-06,20.48
0.13,2.7733333333333e-06,22.186666666667,0,0,2.7733333333333e-06,22.186666666667
0.14,2.9866666666667e-06,23.893333333333,0,0,2.9866666666667e-06,23.893333333333
0.15,3.2e-06,25.6,0,0,3.2e-06,25.6
0.16,3.4133333333333e-06,27.306666666667,0,0,3.4133333333333e-06,27.306666666667
0.17,3.6266666666667e-06,29.013333333333,0,0,3.6266666666667e-06,29.013333333333
0.18,3.84e-06,30.72,0,0,3.84e-06,30.72
0.19,4.0533333333333e-06,32.426666666667,0,0,4.0533333333333e-06,32.426666666667
0.2,4.2666666666667e-06,34.133333333333,0,0,4.2666666666667e-06,34.133333333333
0.21,4.48e-06,35.84,0,0,4.48e-06,35.84
0.22,4.6933333333333e-06,37.546666666667,0,0,4.6933333333333e-06,37.546666666667
0.23,4.9066666666667e-06,39.253333333333,0,0,4.9066666666667e-06,39.253333333333
0.24,5.12e-06,40.96,0,0,5.12e-06,40.96
0.25,5.3333333333333e-06,42.666666666667,0,0,5.3333333333333e-06,42.666666666667
0.26,5.5466666666667e-06,44.373333333333,0,0,5.5466666666667e-06,44.373333333333
0.27,5.76e-06,46.08,0,0,5.76e-06,46.08
0.28,5.9733333333333e-06,47.786666666667,0,0,5.9733333333333e-06,47.786666666667
0.29,6.1866666666667e-06,49.493333333333,0,0,6.1866666666667e-06,49.493333333333
0.3,6.4e-06,51.2,0,0,6.4e-06,51.2
0.31,6.6133333333333e-06,52.906666666667,0,0,6.6133333333333e-06,52.906666666667
0.32,6.8266666666667e-06,54.613333333333,0,0,6.8266666666667e-06,54.613333333333
0.33,7.04e-06,56.32,0,0,7.04e-06,56.32
